"id_policy","id_person","product","benefit_amount","benefit_currency","start_date","n-year","h-payment","birthday","gender","int_rate","base_date","x","x_base","maturity_date","t","apv_ben_0","apv_ann_0","pure_premium","gross_premium","apv_ben_t","apv_ann_t","res_t","apv_ben_exp_t","apv_ann_exp_t","res_exp_t"
"P10018","ID0280","n-year endowment insurance",2e+06,"MXN",2018-03-26,10,NA,2002-04-25,"f",0.05,2025-12-31,15,23,2028-03-26,7,1230097.37673087,7.90621274705971,155586.172050371,207448.23,1727988.29192688,2.79333043887355,1293384.70041479,1728073.50573995,2.79247908385565,1293602.37329654
"P10019","ID0038","h-payment years, whole life insurance",5e+05,"MXN",2017-02-21,NA,"up to 65 years of age",1987-05-26,"m",0.05,2025-12-31,29,38,NA,8,91000.6030865252,15.6931655793604,5798.74102687151,7731.65,119017.397996395,15.6931655793604,28016.8502576481,93507.4315958653,16.2576228151617,-766.255483268382
"P10020","ID0170","n-year term insurance",1500000,"MXN",2020-11-09,20,NA,2001-12-30,"m",0.05,2025-12-31,18,24,2040-11-09,5,54831.2335625345,12.5310571160959,4375.62713620584,5834.17,54204.1417975053,10.4440206141959,8504.99798746285,23526.2598128283,10.5717018449738,-22731.5695018397
"P10021","ID0441","h-payment years, whole life insurance",1e+06,"MXN",2011-06-10,NA,"up to 65 years of age",2003-09-28,"m",0.05,2025-12-31,7,22,NA,14,75577.7327637512,18.6199373840159,4058.96814822966,5411.96,137942.245424115,18.6199373840159,62364.4781805163,98515.4413297983,18.9669070579468,21529.3345888038
"P10022","ID0436","n-year term insurance",2e+06,"MXN",2012-11-05,20,NA,2003-02-05,"m",0.05,2025-12-31,9,22,2032-11-05,13,33863.8232477973,12.6986366152781,2666.72905712214,3555.64,32218.1590836539,5.89221048183275,16505.2246254361,11826.497294595,5.92258614613349,-3967.44085888353
"P10023","ID0219","n-year term insurance",1500000,"MXN",2024-05-12,10,NA,1995-03-26,"m",0.05,2025-12-31,29,30,2034-05-12,1,49074.9713774131,7.79135290400989,6298.64568862696,8398.19,46526.3337893224,7.17969822733415,1303.9813974608,23690.4549155486,7.2376289418743,-21896.7823369709
"P10024","ID0178","n-year term insurance",1500000,"MXN",2013-01-31,15,NA,1989-07-05,"m",0.05,2025-12-31,23,36,2028-01-31,12,54204.1417975053,10.4440206141959,5189.96886350732,6919.96,20465.998397206,2.77748251725167,6050.94745714538,9678.71797740157,2.78810810628202,-4791.47945095892
"P10025","ID0472","n-year endowment insurance",1500000,"MXN",2025-01-10,20,NA,1997-12-30,"m",0.05,2025-12-31,27,28,2045-01-10,0,597591.106536127,12.3580648772861,48356.365860685,64475.15,597591.106536127,12.3580648772861,0.0415315637364984,580407.508505426,12.5920802798807,-28499.6901375877
"P10026","ID0957","n-year term insurance",1500000,"MXN",2024-09-10,20,NA,1991-08-01,"f",0.05,2025-12-31,33,34,2044-09-10,1,50442.2427752062,12.5687478992628,4013.30690849204,5351.08,50959.6447695915,12.1873720321879,2047.94271909128,69590.9940826512,12.1007178456232,21027.0621456333
"P10027","ID0771","n-year endowment insurance",2500000,"MXN",2016-10-03,10,NA,1992-05-30,"f",0.05,2025-12-31,24,33,2026-10-03,9,1538959.0347809,7.89533791847563,194919.970579046,259893.29,2381032.01684473,0.977383058086663,2190520.54292743,2381070.46055102,0.977093756914787,2190615.37720874
"P10028","ID0368","h-payment years, whole life insurance",1e+06,"MXN",2020-10-20,NA,"up to 65 years of age",1995-04-09,"f",0.05,2025-12-31,25,30,NA,5,108335.100635586,17.1121457003065,6330.88933047396,8441.19,133568.176664359,17.1121457003065,25233.0217913814,142851.775836243,16.956148411565,35504.2230285796
"P10029","ID0352","n-year term insurance",1e+06,"MXN",2019-03-12,20,NA,2002-12-18,"f",0.05,2025-12-31,16,23,2039-03-12,6,11185.1480640482,12.7143382954695,879.727108412227,1172.97,10365.4722966092,10.1071100760205,1473.96961720693,13554.2733241952,10.0924837731739,4675.63780563034
"P10030","ID0374","n-year term insurance",1e+06,"MXN",2011-07-05,10,NA,1987-04-26,"m",0.05,2025-12-31,24,38,2021-07-05,14,25300.8782388037,7.82103492506917,3234.97829650465,4313.3,0,0,0,0,0,0
"P10031","ID0296","n-year term insurance",5e+05,"MXN",2012-06-21,20,NA,1983-07-01,"f",0.05,2025-12-31,28,42,2032-06-21,13,11547.0883673335,12.6377222597341,913.70012174777,1218.27,8984.62196365712,5.88797761403088,3604.76209777307,12370.3473113811,5.86714265459211,7009.52440002369
"P10032","ID0018","n-year endowment insurance",2500000,"MXN",2012-11-10,10,NA,1977-08-07,"m",0.05,2025-12-31,35,48,2022-11-10,13,1558764.36479529,7.73422804521966,201541.040124712,268721.39,0,0,0,0,0,0
"P10033","ID1020","h-payment years, whole life insurance",2500000,"MXN",2022-11-10,NA,"up to 65 years of age",2001-09-30,"m",0.05,2025-12-31,21,24,NA,3,344855.613560288,16.972314184663,20318.7149264487,27091.62,383424.271260646,16.972314184663,38568.6564520224,277873.764771655,17.5285318792582,-78283.4788514069
"P10034","ID0166","n-year endowment insurance",1e+06,"MXN",2018-06-14,10,NA,1971-06-07,"m",0.05,2025-12-31,47,54,2028-06-14,7,632857.184933124,7.54400521669975,83888.7522946303,111851.67,866681.095257566,2.73974584457625,636847.234189005,865708.1055914,2.75915033658601,634246.425895245
"P10035","ID0013","h-payment years, whole life insurance",5e+05,"MXN",2012-02-27,NA,"up to 65 years of age",1982-11-06,"m",0.05,2025-12-31,29,43,NA,13,91000.6030865252,15.6931655793604,5798.74102687151,7731.65,139553.173326455,15.6931655793604,48552.6255877083,112574.695054241,16.2576228151617,18301.0079751076
"P10036","ID0974","n-year endowment insurance",1e+06,"MXN",2011-09-26,15,NA,2002-11-02,"m",0.05,2025-12-31,8,23,2026-09-26,14,482821.776447477,10.6219989283002,45454.8884542902,60606.52,952435.091050372,0.976963816659588,908027.30823013,952404.56830068,0.977538050266809,907970.683754988
"P10037","ID0634","n-year endowment insurance",2e+06,"MXN",2010-09-25,20,NA,2007-06-04,"f",0.05,2025-12-31,3,18,2030-09-25,15,755147.596809011,12.7832901880927,59073.02311829,78764.03,1567779.26805513,4.43852781373051,1305582.01464775,1568089.52720451,4.43539333915061,1306077.43668451
"P10038","ID0893","h-payment years, whole life insurance",2e+06,"MXN",2015-12-21,NA,"up to 65 years of age",2001-11-04,"m",0.05,2025-12-31,14,24,NA,10,210345.853417444,17.8626298721864,11775.7494233797,15701,306739.417008517,17.8626298721864,96393.5532911183,222299.011817324,18.3274654035297,6479.36109170888
"P10039","ID0341","n-year term insurance",2500000,"MXN",2025-03-05,20,NA,2000-01-10,"m",0.05,2025-12-31,25,25,2045-03-05,0,135020.63003635,12.4012461867028,10887.666288016,14516.89,135020.63003635,12.4012461867028,-0.0150301124667749,63856.8509666876,12.6221517553629,-73568.9404802446
"P10040","ID1009","n-year endowment insurance",2e+06,"MXN",2016-03-13,15,NA,1983-03-26,"f",0.05,2025-12-31,32,42,2031-03-13,9,973934.793197788,10.5373754128048,92426.6959317291,123235.59,1496364.06689221,5.17237678548744,1018298.38824582,1497882.99611546,5.15703050743827,1021235.72319134
"P10041","ID0393","h-payment years, whole life insurance",1e+06,"MXN",2014-11-22,NA,"up to 65 years of age",1984-12-19,"f",0.05,2025-12-31,29,41,NA,11,128099.933803835,16.4419370446201,7791.04879529686,10388.07,201538.132561034,16.4419370446201,73438.1378447037,208701.85645673,16.2576228151617,82037.8635786073
"P10042","ID0871","n-year term insurance",2e+06,"MXN",2016-10-04,20,NA,1998-12-09,"m",0.05,2025-12-31,17,27,2036-10-04,9,68659.0201306143,12.5488290485263,5471.34875015909,7295.13,61630.173528428,8.38753308545124,15739.0653501771,26584.7016984354,8.47166193744782,-19766.7046638649
"P10043","ID0580","h-payment years, whole life insurance",5e+05,"MXN",2013-12-06,NA,"up to 65 years of age",1997-02-10,"m",0.05,2025-12-31,16,28,NA,12,57083.4185616142,17.6239572125283,3238.96715551689,4318.62,87958.9937122599,17.6239572125283,30875.6131393831,65608.1739713584,18.100923612752,6979.91592198117
"P10044","ID0172","n-year term insurance",2e+06,"MXN",2019-05-10,15,NA,1973-02-27,"m",0.05,2025-12-31,46,52,2034-05-10,6,252510.087821013,9.90042197786098,25504.9823518298,34006.64,212858.861614468,6.88166868424936,37342.039456062,144494.660064456,7.02420404053719,-34657.5235053638
"P10045","ID0348","h-payment years, whole life insurance",5e+05,"MXN",2020-11-19,NA,"up to 65 years of age",1988-02-23,"m",0.05,2025-12-31,32,37,NA,5,100788.942344348,15.1027149436985,6673.56450281155,8898.09,119017.397996395,15.1027149436985,18228.4103863637,93507.4315958653,15.6677804763157,-11052.5589880093
"P10046","ID0822","n-year endowment insurance",2500000,"MXN",2022-02-03,20,NA,1993-05-11,"m",0.05,2025-12-31,28,32,2042-02-03,3,998878.147498661,12.3344361984444,80982.8784573584,107977.17,1140799.62922021,11.1685367908558,236339.3824321,1116267.7193698,11.3688168037622,195588.220830784
"P10047","ID0399","n-year term insurance",5e+05,"MXN",2021-03-07,15,NA,1965-02-13,"m",0.05,2025-12-31,56,60,2036-03-07,4,107385.269435258,9.36647835474542,11464.850007458,15286.47,100678.608045487,7.59820797860614,13566.2743064441,77011.8973514291,7.82559346857018,-12707.3774906914
"P10048","ID0006","h-payment years, whole life insurance",1e+06,"MXN",2013-02-02,NA,"up to 65 years of age",1981-01-25,"f",0.05,2025-12-31,32,44,NA,12,145179.266564559,15.8544283469414,9157.01678973286,12209.36,236316.701322295,15.8544283469414,91137.3838607857,241770.562443746,15.6677804763157,98300.3832665143
"P10049","ID0945","n-year term insurance",1500000,"MXN",2020-06-03,20,NA,1998-11-20,"f",0.05,2025-12-31,21,27,2040-06-03,5,21918.4341155842,12.6922890579255,1726.90946570411,2302.55,21296.3010705485,10.577401414259,3030.05435074698,29288.299304038,10.5507785310306,11068.0279740696
"P10050","ID0900","n-year term insurance",2e+06,"MXN",2021-09-28,15,NA,1999-08-26,"m",0.05,2025-12-31,22,26,2036-09-28,4,68493.9801025479,10.4552169687064,6551.17730292522,8734.9,61630.173528428,8.38753308545124,6681.97646734702,26584.7016984354,8.47166193744782,-28914.6381946243
"P10051","ID0067","h-payment years, whole life insurance",1e+06,"MXN",2017-06-11,NA,"up to 65 years of age",1976-10-20,"m",0.05,2025-12-31,40,49,NA,8,262106.175708885,13.1640816900529,19910.7071712369,26547.61,334850.15841105,13.1640816900529,72743.9783743008,278368.81009514,13.677155611051,6046.96529151849
"P10052","ID0889","n-year endowment insurance",2500000,"MXN",2016-12-03,20,NA,1988-03-09,"m",0.05,2025-12-31,28,37,2036-12-03,9,998878.147498661,12.3344361984444,80982.8784573584,107977.17,1493837.68099579,8.26805596646587,824266.717500342,1478874.54785993,8.38989035543852,799437.084967019
"P10053","ID0854","n-year term insurance",2500000,"MXN",2025-07-04,15,NA,1998-06-29,"m",0.05,2025-12-31,27,27,2040-07-04,0,111574.870567909,10.3956432368735,10732.8491393541,14310.47,111574.870567909,10.3956432368735,-0.0349360762047581,52332.5625462824,10.5411232110354,-60803.758062087
"P10054","ID0728","n-year term insurance",5e+05,"MXN",2014-02-10,15,NA,1992-02-07,"m",0.05,2025-12-31,22,33,2029-02-10,11,17123.495025637,10.4552169687064,1637.79432573131,2183.73,8092.69426151466,3.61160195334143,2177.62161133695,3623.43339211006,3.62750562753044,-2317.68625589523
"P10055","ID0336","n-year endowment insurance",5e+05,"MXN",2025-12-28,10,NA,1991-09-11,"m",0.05,2025-12-31,34,34,2035-12-28,0,311479.563829474,7.74534615859899,40215.0604313101,53620.08,311479.563829474,7.74534615859899,0.00334064598428085,309157.765924711,7.83981102059212,-6120.70465706202
"P10056","ID0789","n-year endowment insurance",1e+06,"MXN",2022-08-11,15,NA,1972-04-06,"m",0.05,2025-12-31,50,53,2037-08-11,3,527042.655818059,9.71989027608497,54223.1075503811,72297.48,593293.661838143,8.35891932812248,140047.059628231,581734.521932959,8.59455725339425,115710.898580865
"P10057","ID0033","h-payment years, whole life insurance",1500000,"MXN",2022-10-29,NA,"up to 65 years of age",1990-03-12,"m",0.05,2025-12-31,32,35,NA,3,302366.827033044,15.1027149436985,20020.6935084346,26694.26,334373.463813251,15.1027149436985,32006.6142535203,259136.216525146,15.6677804763157,-54543.6377181238
"P10058","ID0988","h-payment years, whole life insurance",5e+05,"MXN",2014-12-12,NA,"up to 65 years of age",2001-02-09,"f",0.05,2025-12-31,13,24,NA,11,32793.9649456629,18.5275764101735,1770.00834969736,2360.01,51947.2494790553,18.5275764101735,19153.3002762251,55574.752954331,18.4327112993614,22948.7157091265
"P10059","ID0354","n-year endowment insurance",1e+06,"MXN",2010-09-28,10,NA,1991-08-26,"m",0.05,2025-12-31,19,34,2020-09-28,15,617847.117916459,7.8493168597818,78713.4892059427,104951.32,0,0,0,0,0,0
"P10060","ID0644","n-year endowment insurance",2e+06,"MXN",2015-09-02,10,NA,1965-02-05,"m",0.05,2025-12-31,50,60,2025-09-02,10,1272493.38523039,7.47504853388194,170232.123505633,226976.16,0,0,0,0,0,0
"P10061","ID0512","h-payment years, whole life insurance",2e+06,"MXN",2025-10-21,NA,"up to 65 years of age",2003-09-29,"m",0.05,2025-12-31,22,22,NA,0,285937.074337665,16.8307449877829,16988.9731289507,22651.96,285937.074337665,16.8307449877829,0.0526625709608197,205037.87123238,17.3959394599009,-90501.2223736923
"P10062","ID0331","n-year term insurance",2500000,"MXN",2021-08-13,20,NA,1995-10-31,"m",0.05,2025-12-31,25,30,2041-08-13,4,135020.63003635,12.4012461867028,10887.666288016,14516.89,132811.283817206,10.8011412252033,15212.0495366491,66858.8113349395,10.9684980064317,-52562.5479335015
"P10063","ID0093","n-year endowment insurance",5e+05,"MXN",2023-04-20,10,NA,1971-10-03,"m",0.05,2025-12-31,51,54,2033-04-20,2,318747.537973218,7.44965000074036,42786.9145451854,57049.22,347141.467664404,6.28288613746737,78316.1525459092,344172.691214373,6.40349278822708,70186.9895813884
"P10064","ID0536","h-payment years, whole life insurance",1e+06,"MXN",2011-12-24,NA,"up to 65 years of age",1988-10-10,"m",0.05,2025-12-31,23,37,NA,14,148107.18395986,16.6847193648582,8876.81600877312,11835.75,238034.795992789,16.6847193648582,89927.6705758239,187014.863191731,17.2565780581739,33831.4553777066
"P10065","ID0988","n-year term insurance",5e+05,"MXN",2020-01-03,20,NA,2001-02-09,"f",0.05,2025-12-31,18,24,2040-01-03,5,6206.44856139534,12.7061295197665,488.460986623834,651.28,5904.52712641454,10.5900395412144,731.716412112976,7842.08660427609,10.5717018449738,2678.2331210802
"P10066","ID0381","n-year endowment insurance",5e+05,"MXN",2010-10-01,20,NA,2000-11-04,"m",0.05,2025-12-31,9,25,2030-10-01,15,190861.831488206,12.6986366152781,15030.104197058,20040.14,392487.555770052,4.4166371660076,326105.035418056,392022.381801127,4.43539333915061,325357.954197393
"P10067","ID0184","n-year term insurance",5e+05,"MXN",2013-10-16,10,NA,1977-04-13,"m",0.05,2025-12-31,36,48,2023-10-16,12,24476.2077970789,7.72251998001795,3169.45865603601,4225.94,0,0,0,0,0,0
"P10068","ID0663","n-year term insurance",1e+06,"MXN",2019-10-29,20,NA,1972-07-20,"m",0.05,2025-12-31,47,53,2039-10-29,6,173128.489861244,11.4881330893179,15070.2023135705,20093.6,169651.074105076,9.18998181161314,31156.2102077034,123310.832336331,9.48778644327259,-19672.0069210757
"P10069","ID0704","h-payment years, whole life insurance",1500000,"MXN",2011-07-19,NA,"up to 65 years of age",1991-02-14,"m",0.05,2025-12-31,20,34,NA,14,199526.559859586,17.1097612584324,11661.5630601655,15548.75,323441.184211947,17.1097612584324,123914.633936659,249230.794513561,17.6546840953896,43349.5925174193
"P10070","ID0192","n-year term insurance",5e+05,"MXN",2013-08-11,20,NA,1976-06-17,"m",0.05,2025-12-31,37,49,2033-08-11,12,51739.3965132717,12.0318800707376,4300.19217354949,5733.59,40416.970581098,6.35274134325092,13098.9599024105,25729.8719947756,6.46060045679749,-2051.95363504153
"P10071","ID0618","n-year endowment insurance",2500000,"MXN",2017-08-04,10,NA,2003-07-20,"m",0.05,2025-12-31,14,22,2027-08-04,8,1540762.22891798,7.88071273698003,195510.517936785,260680.69,2268106.90782299,1.90520223832341,1895619.83226622,2267802.28678118,1.90759568094923,1894847.26801803
"P10072","ID0719","h-payment years, whole life insurance",1500000,"MXN",2017-03-16,NA,"up to 65 years of age",1992-12-18,"m",0.05,2025-12-31,24,33,NA,8,230054.562756388,16.5338777358722,13914.1323306908,18552.18,302366.827033044,16.5338777358722,72312.2201426243,230867.319074861,17.1101021104129,-7204.95155320893
"P10073","ID0614","n-year endowment insurance",2e+06,"MXN",2015-09-23,20,NA,1990-06-27,"m",0.05,2025-12-31,25,35,2035-09-23,10,792558.511732942,12.4012461867028,63909.5861658452,85212.78,1247011.49183623,7.73422804521966,752720.187170883,1237322.48821851,7.83277519656266,736733.076007895
"P10074","ID0553","n-year endowment insurance",2500000,"MXN",2018-10-02,20,NA,1978-07-29,"m",0.05,2025-12-31,40,47,2038-10-02,7,1052665.18715904,11.8949885769158,88496.5277900236,117995.37,1401969.23663154,9.0252253599863,603268.132367815,1373134.58301849,9.26040234685816,553621.132068688
"P10075","ID0189","n-year endowment insurance",1500000,"MXN",2018-12-29,15,NA,1999-08-08,"m",0.05,2025-12-31,19,26,2033-12-29,7,734033.640458834,10.4886277781761,69983.7629843395,93311.68,1021078.41392674,6.55820871263878,562110.309351522,1017488.98130292,6.60682075563886,555118.823177274
"P10076","ID0317","n-year endowment insurance",2e+06,"MXN",2022-02-25,15,NA,1993-02-20,"m",0.05,2025-12-31,29,32,2037-02-25,3,990651.461924734,10.36688670572,95559.2059647126,127412.27,1136221.3161934,8.87193626841733,288426.16175261,1124793.30672421,8.9883224948965,265876.377299086
"P10077","ID0448","h-payment years, whole life insurance",1e+06,"MXN",2012-08-24,NA,"up to 65 years of age",1991-01-27,"f",0.05,2025-12-31,21,34,NA,13,91695.0921738544,17.6699641719583,5189.31964329457,6919.09,157731.909094696,17.6699641719583,66036.8547927802,166153.863009041,17.5285318792582,75192.7457786984
"P10078","ID0238","n-year endowment insurance",2500000,"MXN",2024-02-27,15,NA,1986-07-28,"f",0.05,2025-12-31,37,39,2039-02-27,1,1224186.23050792,10.482203154722,116787.11168238,155716.15,1283115.95801339,9.99808488910451,115468.493284994,1291240.58292547,9.93182734988019,131331.144884439
"P10079","ID0024","h-payment years, whole life insurance",2e+06,"MXN",2010-05-30,NA,"up to 65 years of age",1970-10-21,"m",0.05,2025-12-31,39,55,NA,15,507787.721474152,13.4389098640891,37784.8892960464,50379.85,796216.535044032,13.4389098640891,288428.837706786,679004.435043093,13.9634343628179,151397.638530385
"P10080","ID0735","n-year endowment insurance",1e+06,"MXN",2012-06-13,15,NA,1986-10-07,"m",0.05,2025-12-31,25,39,2027-06-13,13,492678.584532913,10.4208547588178,47278.1356170449,63037.51,907542.97310068,1.89930037847137,817747.598150011,907303.652273199,1.90400138277427,817286.022618214
"P10081","ID0533","n-year term insurance",2500000,"MXN",2017-03-15,15,NA,1986-05-19,"m",0.05,2025-12-31,30,39,2032-03-15,8,131294.915438809,10.3506169335817,12684.742975352,16912.99,95697.6286234664,5.82362051456321,21826.5019785146,49734.4820044322,5.88090505183903,-24863.2842450951
"P10082","ID0509","n-year term insurance",2e+06,"MXN",2012-10-15,15,NA,2005-03-01,"m",0.05,2025-12-31,7,20,2027-10-15,13,15421.5752799675,10.6304085751067,1450.70390954495,1934.27,7736.06724549716,1.90582021149216,4971.28910013495,3809.17636371684,1.90759568094923,1041.82254037458
"P10083","ID0733","h-payment years, whole life insurance",1e+06,"MXN",2010-07-10,NA,"up to 65 years of age",1993-10-05,"m",0.05,2025-12-31,16,32,NA,15,114166.837123228,17.6239572125283,6477.93431103378,8637.25,194813.774165278,17.6239572125283,80646.8808398456,148241.253704035,18.100923612752,30984.601848353
"P10084","ID0037","n-year endowment insurance",2500000,"MXN",2020-01-29,15,NA,1972-11-10,"m",0.05,2025-12-31,47,53,2035-01-29,5,1300624.78098137,9.85847770573405,131929.575721907,175906.1,1597017.90029078,7.42295474969761,617710.634918941,1576097.03757319,7.59328284671276,574318.458751582
"P10085","ID0260","n-year endowment insurance",1e+06,"MXN",2025-10-25,15,NA,1993-12-15,"m",0.05,2025-12-31,31,32,2040-10-25,0,497000.271275416,10.3327398195565,48099.5631318188,64132.75,497000.271275416,10.3327398195565,0.00652841909322888,489089.192375479,10.4940988036568,-15672.3689121882
"P10086","ID0425","n-year term insurance",1e+06,"MXN",2016-06-28,10,NA,1999-01-02,"f",0.05,2025-12-31,17,26,2026-06-28,9,5916.51079237766,7.90369072780792,748.575696612385,998.1,874.377053781876,0.977584309646329,142.581879188375,975.996872108946,0.977538050266809,244.236326130469
"P10087","ID0398","h-payment years, whole life insurance",1e+06,"MXN",2022-06-15,NA,"up to 65 years of age",1985-07-29,"f",0.05,2025-12-31,36,40,NA,3,171276.745522003,14.9398683677401,11464.407938951,15285.88,193561.844267382,14.9398683677401,22285.0679535784,201095.372413812,14.7526973160594,31964.4017766077
"P10088","ID0384","n-year endowment insurance",2e+06,"MXN",2015-05-30,20,NA,1993-07-30,"m",0.05,2025-12-31,21,32,2035-05-30,10,785092.273328072,12.4774784190913,62920.7478433169,83894.33,1242951.74004618,7.77551525092899,753710.508260081,1235388.20075125,7.8524227408616,741307.892210239
"P10089","ID0681","h-payment years, whole life insurance",2e+06,"MXN",2019-05-02,NA,"up to 65 years of age",1977-06-12,"m",0.05,2025-12-31,41,48,NA,6,541019.378228217,12.878590048406,42009.208787198,56012.28,650107.157003609,12.878590048406,109087.763156212,537335.142139497,13.3756584301532,-24565.7017410774
"P10090","ID0124","h-payment years, whole life insurance",2e+06,"MXN",2016-10-16,NA,"up to 65 years of age",1970-08-03,"f",0.05,2025-12-31,46,55,NA,9,510968.225290011,11.8190335894715,43232.6570038,57643.54,713179.490718074,11.8190335894715,202211.289111043,700815.656823803,11.6773817304676,195971.441167193
"P10091","ID0516","n-year term insurance",1e+06,"MXN",2012-09-23,15,NA,1989-05-31,"m",0.05,2025-12-31,23,36,2027-09-23,13,36136.0945316702,10.4440206141959,3459.97924233821,4613.31,9626.73338906454,1.90043231719931,3051.27082912047,4734.97911097426,1.90537581847254,-1857.5878768639
